Trade_ID,Entry_Time,Exit_Time,Symbol,Signal_Type,Action,Shares,Entry_Price,Exit_Price,Take_Profit,Stop_Loss,PnL_Dollar,PnL_Percent,Exit_Reason,Duration_Minutes,STM_Signal,TD_Signal,Zigzag_Signal,Market_Hours,Order_Type,Notes
TRADE_20250919_211506_417,2025-09-19 09:15:06,,OKLO,SELL,ENTRY,1,106.45,,105.95660425,106.75497925,,,,,sell,sell,sell,No,Limit @ $105.39,Trade entry
TRADE_20250919_211506_417,2025-09-19 09:15:06,2025-09-19 09:20:07,OKLO,SELL,EXIT,1,106.45,107.65,105.95660425,106.75497925,-1.2000000000000028,-1.1272898074213273,STOP LOSS,5.017372666666666,sell,sell,sell,No,Limit @ $108.73,Trade exit
TRADE_20250920_011019_694,2025-09-19 13:10:19,,RDDT,SELL,ENTRY,1,257.86,,255.46963780000002,259.3375378,,,,,sell,sell,sell,Yes,Market,Trade entry
TRADE_20250920_014007_545,2025-09-19 13:40:07,,INTC,BUY,ENTRY,13,29.75,,30.0257825,29.5795325,,,,,buy,buy,buy,Yes,Market,Trade entry
TRADE_20250920_011019_694,2025-09-19 13:10:19,2025-09-19 14:00:09,RDDT,SELL,EXIT,1,257.86,259.45000000000005,255.46963780000002,259.3375378,-1.5900000000000318,-0.6166136663305793,STOP LOSS,49.83778911666666,sell,sell,sell,Yes,Market,Trade exit
TRADE_20250920_014007_545,2025-09-19 13:40:07,2025-09-19 14:30:10,INTC,BUY,EXIT,13,29.75,29.54,30.0257825,29.5795325,-2.730000000000011,-0.7058823529411794,STOP LOSS,50.038232533333336,buy,buy,buy,Yes,Market,Trade exit
TRADE_20250920_023524_352,2025-09-19 14:35:24,,INTC,BUY,ENTRY,13,29.58,,29.854206599999998,29.410506599999998,,,,,buy,buy,buy,Yes,Market,Trade entry
TRADE_20250920_023524_352,2025-09-19 14:35:24,2025-09-19 16:00:26,INTC,BUY,EXIT,13,29.58,29.66,29.854206599999998,29.410506599999998,1.040000000000024,0.270453008789729,DAILY CLOSE,85.03667635000001,buy,buy,buy,Yes,Limit @ $29.36,Trade exit
TRADE_20250922_210509_937,2025-09-22 09:05:09,,TSLA,SELL,ENTRY,1,430.82000000000005,,426.82629860000003,433.28859860000006,,,,,sell,sell,sell,No,Limit @ $426.51,Trade entry
TRADE_20250922_210509_937,2025-09-22 09:05:09,2025-09-22 09:35:25,TSLA,SELL,EXIT,1,430.82000000000005,435.91,426.82629860000003,433.28859860000006,-5.089999999999975,-1.181467898426251,STOP LOSS,30.269963983333334,sell,sell,sell,No,Market,Trade exit
TRADE_20250923_010522_170,2025-09-22 13:05:22,,OPEN,BUY,ENTRY,44,8.9863,,9.069603000999999,8.934808501,,,,,buy,buy,buy,Yes,Market,Trade entry
TRADE_20250923_010522_170,2025-09-22 13:05:22,2025-09-22 13:15:26,OPEN,BUY,EXIT,44,8.9863,8.915,9.069603000999999,8.934808501,-3.1372000000000355,-0.7934299989984844,STOP LOSS,10.078005816666666,buy,buy,buy,Yes,Market,Trade exit
TRADE_20250923_022006_541,2025-09-22 14:20:06,,NIO,BUY,ENTRY,58,6.87,,6.9336849,6.8306349,,,,,buy,buy,buy,Yes,Market,Trade entry
TRADE_20250923_022006_541,2025-09-22 14:20:06,2025-09-22 14:40:26,NIO,BUY,EXIT,58,6.87,6.83,6.9336849,6.8306349,-2.320000000000002,-0.5822416302765653,STOP LOSS,20.326065016666668,buy,buy,buy,Yes,Market,Trade exit
TRADE_20250923_164504_701,2025-09-23 04:45:01,,QQQ,SELL,ENTRY,1,602.69,,602.2550000000001,602.835,,,,,sell,none,sell,No,Limit @ $596.66,Trade entry
TRADE_20250923_164504_701,2025-09-23 04:45:01,2025-09-23 06:40:23,QQQ,SELL,EXIT,1,602.69,602.165,602.2550000000001,602.835,0.525000000000091,0.08710945925767656,TAKE PROFIT,115.36843758333333,sell,none,sell,No,Limit @ $608.19,Trade exit
TRADE_20250923_211025_685,2025-09-23 09:10:22,,SOXL,SELL,ENTRY,11,34.86,,34.61999999999999,34.94,,,,,sell,none,sell,No,Limit @ $34.51,Trade entry
TRADE_20250923_211025_685,2025-09-23 09:10:22,2025-09-23 09:30:09,SOXL,SELL,EXIT,11,34.86,34.595,34.61999999999999,34.94,2.9150000000000063,0.7601835915088944,TAKE PROFIT,19.778422533333334,sell,none,sell,No,Market,Trade exit
TRADE_20250924_024009_665,2025-09-23 14:40:06,,NIO,BUY,ENTRY,57,6.97,,6.999999999999999,6.96,,,,,buy,none,buy,Yes,Market,Trade entry
TRADE_20250924_024009_665,2025-09-23 14:40:06,2025-09-23 15:10:09,NIO,BUY,EXIT,57,6.97,6.95,6.999999999999999,6.96,-1.1399999999999757,-0.2869440459110412,STOP LOSS,30.042059333333334,buy,none,buy,Yes,Market,Trade exit
TRADE_20250924_174514_191,2025-09-24 05:45:08,,NFLX,BUY,ENTRY,1,1214.805,,1226.95305,1208.7309750000002,,,,,buy,none,buy,No,Limit @ $1226.95,Trade entry
TRADE_20250924_184506_644,2025-09-24 06:45:04,,OPEN,SELL,ENTRY,53,7.3,,7.267639999999999,7.30764,,,,,sell,sell,sell,No,Limit @ $7.23,Trade entry
TRADE_20250924_184506_644,2025-09-24 06:45:04,2025-09-24 06:50:08,OPEN,SELL,EXIT,53,7.3,7.245,7.267639999999999,7.30764,2.914999999999985,0.7534246575342427,TAKE PROFIT,5.07577085,sell,sell,sell,No,Limit @ $7.32,Trade exit
TRADE_20250924_174514_191,2025-09-24 05:45:08,2025-09-24 10:55:08,NFLX,BUY,EXIT,1,1214.805,1206.665,1226.95305,1208.7309750000002,-8.1400000000001,-0.670066389255897,STOP LOSS,310.00678619999996,buy,none,buy,No,Market,Trade exit
